Date-Time Wed Apr  4 14:47:25 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:28 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:31 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:34 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:37 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:40 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:43 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:46 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:49 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:52 2018:	Voltage: 2.1	Vac(rms);
Date-Time Wed Apr  4 14:47:55 2018:	Voltage: 0.3	Vac(rms);
Date-Time Wed Apr  4 14:47:58 2018:	Voltage: 1.7	Vac(rms);
Date-Time Wed Apr  4 14:48:01 2018:	Voltage: 40.4	Vac(rms);
Date-Time Wed Apr  4 14:48:04 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:48:07 2018:	Voltage: 56.3	Vac(rms);
Date-Time Wed Apr  4 14:48:10 2018:	Voltage: 56.1	Vac(rms);
Date-Time Wed Apr  4 14:48:13 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:48:16 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:48:19 2018:	Voltage: 56.3	Vac(rms);
Date-Time Wed Apr  4 14:48:22 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:48:25 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:48:28 2018:	Voltage: 56.3	Vac(rms);
Date-Time Wed Apr  4 14:48:31 2018:	Voltage: 56.8	Vac(rms);
Date-Time Wed Apr  4 14:48:34 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:48:37 2018:	Voltage: 56.5	Vac(rms);
Date-Time Wed Apr  4 14:48:40 2018:	Voltage: 56.7	Vac(rms);
Date-Time Wed Apr  4 14:48:43 2018:	Voltage: 55.8	Vac(rms);
Date-Time Wed Apr  4 14:48:46 2018:	Voltage: 56.8	Vac(rms);
Date-Time Wed Apr  4 14:48:49 2018:	Voltage: 56.5	Vac(rms);
Date-Time Wed Apr  4 14:48:52 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:48:55 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:48:58 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:49:01 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:49:04 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:49:07 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:49:10 2018:	Voltage: 56.3	Vac(rms);
Date-Time Wed Apr  4 14:49:13 2018:	Voltage: 56.8	Vac(rms);
Date-Time Wed Apr  4 14:49:16 2018:	Voltage: 55.9	Vac(rms);
Date-Time Wed Apr  4 14:49:19 2018:	Voltage: 56.6	Vac(rms);
Date-Time Wed Apr  4 14:49:22 2018:	Voltage: 56.6	Vac(rms);
Date-Time Wed Apr  4 14:49:25 2018:	Voltage: 55.9	Vac(rms);
Date-Time Wed Apr  4 14:49:28 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:49:31 2018:	Voltage: 56.4	Vac(rms);
Date-Time Wed Apr  4 14:49:34 2018:	Voltage: 55.9	Vac(rms);
Date-Time Wed Apr  4 14:49:37 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:49:40 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:49:43 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:49:46 2018:	Voltage: 56.8	Vac(rms);
Date-Time Wed Apr  4 14:49:49 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:49:52 2018:	Voltage: 56.5	Vac(rms);
Date-Time Wed Apr  4 14:49:55 2018:	Voltage: 56.7	Vac(rms);
Date-Time Wed Apr  4 14:49:58 2018:	Voltage: 55.8	Vac(rms);
Date-Time Wed Apr  4 14:50:01 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:50:04 2018:	Voltage: 56.5	Vac(rms);
Date-Time Wed Apr  4 14:50:07 2018:	Voltage: 12.5	Vac(rms);
Date-Time Wed Apr  4 14:50:10 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:50:13 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:50:16 2018:	Voltage: 2.4	Vac(rms);
Date-Time Wed Apr  4 14:50:19 2018:	Voltage: 2.1	Vac(rms);
Date-Time Wed Apr  4 14:50:22 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:50:25 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:50:28 2018:	Voltage: 2.1	Vac(rms);
Date-Time Wed Apr  4 14:50:31 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:50:34 2018:	Voltage: 27.9	Vac(rms);
Date-Time Wed Apr  4 14:50:37 2018:	Voltage: 55.3	Vac(rms);
Date-Time Wed Apr  4 14:50:40 2018:	Voltage: 55.0	Vac(rms);
Date-Time Wed Apr  4 14:50:44 2018:	Voltage: 82.6	Vac(rms);
Date-Time Wed Apr  4 14:50:47 2018:	Voltage: 91.9	Vac(rms);
Date-Time Wed Apr  4 14:50:50 2018:	Voltage: 98.0	Vac(rms);
Date-Time Wed Apr  4 14:50:53 2018:	Voltage: 99.4	Vac(rms);
Date-Time Wed Apr  4 14:50:56 2018:	Voltage: 98.1	Vac(rms);
Date-Time Wed Apr  4 14:50:59 2018:	Voltage: 99.6	Vac(rms);
Date-Time Wed Apr  4 14:51:02 2018:	Voltage: 98.2	Vac(rms);
Date-Time Wed Apr  4 14:51:05 2018:	Voltage: 99.4	Vac(rms);
Date-Time Wed Apr  4 14:51:08 2018:	Voltage: 98.7	Vac(rms);
Date-Time Wed Apr  4 14:51:11 2018:	Voltage: 98.9	Vac(rms);
Date-Time Wed Apr  4 14:51:14 2018:	Voltage: 99.0	Vac(rms);
Date-Time Wed Apr  4 14:51:17 2018:	Voltage: 98.5	Vac(rms);
Date-Time Wed Apr  4 14:51:20 2018:	Voltage: 99.5	Vac(rms);
Date-Time Wed Apr  4 14:51:23 2018:	Voltage: 98.2	Vac(rms);
Date-Time Wed Apr  4 14:51:26 2018:	Voltage: 99.6	Vac(rms);
Date-Time Wed Apr  4 14:51:29 2018:	Voltage: 98.2	Vac(rms);
Date-Time Wed Apr  4 14:51:32 2018:	Voltage: 99.6	Vac(rms);
Date-Time Wed Apr  4 14:51:35 2018:	Voltage: 98.4	Vac(rms);
Date-Time Wed Apr  4 14:51:38 2018:	Voltage: 99.4	Vac(rms);
Date-Time Wed Apr  4 14:51:41 2018:	Voltage: 98.5	Vac(rms);
